iter	Logloss	Accuracy
846	0.2211953609	0.9024721832
847	0.2211697804	0.9025025633
848	0.2211567017	0.9024949683
849	0.2211288966	0.9025557286
850	0.2211049941	0.9025481335
851	0.2210731762	0.9025557286
852	0.2210444837	0.9025785137
853	0.2210244856	0.9026088938
854	0.2209820782	0.902662059
855	0.2209542329	0.9026164888
856	0.2209322959	0.9026392739
857	0.2208979052	0.9026468689
858	0.2208755563	0.9027076292
859	0.2208522329	0.902669654
860	0.2208332501	0.9026772491
861	0.2208116267	0.9027304143
862	0.2207945321	0.9027456044
863	0.2207699064	0.9027607944
864	0.2207392852	0.9027683895
865	0.2207081848	0.9027683895
866	0.2206877576	0.9028367448
867	0.2206689622	0.9028063646
868	0.2206537689	0.9028519348
869	0.2206385748	0.9028215547
870	0.2206249441	0.9028519348
871	0.2206031349	0.9028671249
872	0.220581775	0.902882315
873	0.2205632974	0.9028671249
874	0.2205301187	0.9028671249
875	0.2205081875	0.902882315
876	0.2204802527	0.9029051001
877	0.2204498758	0.9029202901
878	0.2204274347	0.9029886454
879	0.2204006349	0.9030038355
880	0.2203822627	0.9029810504
